Linux 3.14.36ltsi-fido1.8-xxx (pc-name) 	01/31/19 	_armv7l_	(4 CPU)

14:36:01      UID       PID    %usr %system  %guest    %CPU   CPU  Command
14:36:02        0       523    0.00    0.00    0.00    0.00     0  top
14:36:03        0       523    0.00    0.00    0.00    0.00     0  top
14:36:04        0       523    0.00    2.00    0.00    2.00     0  top
14:36:05        0       523    0.00    0.00    0.00    0.00     0  top
14:36:06        0       523    0.00    0.00    0.00    0.00     0  top
14:36:07        0       523    0.00    1.00    0.00    1.00     0  top
14:36:08        0       523    0.00    0.00    0.00    0.00     0  top
14:36:09        0       523    0.00    0.00    0.00    0.00     0  top
